Data,model_cnn_simple,model_lstmbi_dense,model_mlp_3L,model_mlp_4L,model_mlp_simple,model_rnn_gru_3L,model_rnn_simple
ProximalPhalanxOutlineCorrect,0.9037800431251526,0.7147766351699829,0.7628865838050842,0.7835051417350769,0.7491409182548523,0.6838487982749939,0.738831639289856
ProximalPhalanxTW,0.8048780560493469,0.800000011920929,0.790243923664093,0.795121967792511,0.6731707453727722,0.19512194395065308,0.7756097316741943
RefrigerationDevices,0.335999995470047,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3440000116825104,0.328000009059906,0.3199999928474426
ScreenType,0.41333332657814026,0.4560000002384186,0.4320000112056732,0.3333333432674408,0.4320000112056732,0.3333333432674408,0.3333333432674408
ShapeletSim,0.5277777910232544,0.5,0.46666666865348816,0.47777777910232544,0.5222222208976746,0.5,0.4888888895511627
ShapesAll,0.5183333158493042,0.398333340883255,0.5550000071525574,0.6299999952316284,0.550000011920929,0.018333332613110542,0.01666666753590107
SmallKitchenAppliances,0.5120000243186951,0.3466666638851166,0.328000009059906,0.3386666774749756,0.335999995470047,0.335999995470047,0.3333333432674408
SonyAIBORobotSurface1,0.7321131229400635,0.6589018106460571,0.4292845129966736,0.8103161454200745,0.44425955414772034,0.4292845129966736,0.9068219661712646
SonyAIBORobotSurface2,0.8006296157836914,0.7628541588783264,0.8363063931465149,0.6169989705085754,0.6295907497406006,0.6169989705085754,0.8132213950157166
StarlightCurves,0.8687469363212585,0.8556337952613831,0.855876624584198,0.8559980392456055,0.8553909659385681,0.5772219300270081,0.8204225301742554
Strawberry,0.9270270466804504,0.9189189076423645,0.699999988079071,0.6432432532310486,0.6324324607849121,0.6432432532310486,0.6432432532310486
SwedishLeaf,0.8432000279426575,0.7839999794960022,0.7712000012397766,0.7103999853134155,0.4047999978065491,0.05920000001788139,0.1120000034570694
Symbols,0.8291457295417786,0.6984924674034119,0.8592965006828308,0.8010050058364868,0.08944723755121231,0.21608039736747742,0.17386934161186218
SyntheticControl,0.9233333468437195,0.9666666388511658,0.9399999976158142,0.9433333277702332,0.8066666722297668,0.1899999976158142,0.8999999761581421
ToeSegmentation1,0.4736842215061188,0.4736842215061188,0.5219298005104065,0.5263158082962036,0.4868420958518982,0.5263158082962036,0.5526315569877625
ToeSegmentation2,0.1846153885126114,0.1846153885126114,0.23076923191547394,0.8153846263885498,0.32307693362236023,0.1846153885126114,0.4000000059604645
Trace,0.6399999856948853,0.7300000190734863,0.6499999761581421,0.6100000143051147,0.5299999713897705,0.23999999463558197,0.1899999976158142
TwoLeadECG,0.49956101179122925,0.49956101179122925,0.49956101179122925,0.6523265838623047,0.45478489995002747,0.4837576746940613,0.5425812005996704
TwoPatterns,0.9837499856948853,0.9822499752044678,0.8934999704360962,0.8619999885559082,0.753250002861023,0.2487500011920929,0.546500027179718
UWaveGestureLibraryAll,0.9154103994369507,0.858458936214447,0.9410943388938904,0.9017308950424194,0.8894472122192383,0.12618649005889893,0.20630931854248047
UWaveGestureLibraryX,0.7361809015274048,0.44109436869621277,0.695421576499939,0.7018425464630127,0.6379117965698242,0.13512004911899567,0.3068118393421173
UWaveGestureLibraryY,0.6527079939842224,0.6376326084136963,0.641261875629425,0.6309324502944946,0.5586264729499817,0.20463427901268005,0.42908990383148193
UWaveGestureLibraryZ,0.67867112159729,0.6426577568054199,0.6471245288848877,0.6457286477088928,0.570351779460907,0.12479061633348465,0.2347850352525711
Wafer,0.9889681935310364,0.990590512752533,0.9938351511955261,0.9899415969848633,0.9224529266357422,0.8921155333518982,0.8921155333518982
Wine,0.5,0.5,0.5,0.5,0.46296295523643494,0.5,0.5
WordSynonyms,0.4592476487159729,0.5595611333847046,0.4326018691062927,0.43103447556495667,0.40595611929893494,0.21630093455314636,0.21943573653697968
Worms,0.3896103799343109,0.16883116960525513,0.3896103799343109,0.4285714328289032,0.4285714328289032,0.20779220759868622,0.4285714328289032
WormsTwoClass,0.5324675440788269,0.4285714328289032,0.5714285969734192,0.4675324559211731,0.5584415793418884,0.5584415793418884,0.5324675440788269
Yoga,0.5533333420753479,0.5356666445732117,0.6576666831970215,0.6413333415985107,0.5513333082199097,0.5356666445732117,0.4950000047683716
